,match_no,team_1,team_1_sh,team_2,team_2_sh,date,day,umpire_1,umpire_2,player_of_match,winner,city,venue
Match 24 (MI vs RR),24,Rajasthan Royals,RR,Mumbai Indians,MI,29 April 2021,Thursday,CB Gaffaney,KN Ananthapadmanabhan,Q de Kock,Mumbai Indians,Delhi,"Arun Jaitley Stadium, Delhi"
Match 25 (DC vs KKR),25,Kolkata Knight Riders,KKR,Delhi Capitals,DC,29 April 2021,Thursday,AK Chaudhary,YC Barde,PP Shaw,Delhi Capitals,Ahmedabad,"Narendra Modi Stadium, Ahmedabad"
Match 26 (PBKS vs RCB),26,Punjab Kings,PBKS,Royal Challengers Bangalore,RCB,30 April 2021,Friday,S Ravi,VK Sharma,Harpreet Brar,Punjab Kings,Ahmedabad,"Narendra Modi Stadium, Ahmedabad"
Match 27 (MI vs CSK),27,Chennai Super Kings,CSK,Mumbai Indians,MI,01 May 2021,Saturday,KN Ananthapadmanabhan,CK Nandan,KA Pollard,Mumbai Indians,Delhi,"Arun Jaitley Stadium, Delhi"
Match 28 (RR vs SRH),28,Rajasthan Royals,RR,Sunrisers Hyderabad,SRH,02 May 2021,Sunday,C Shamshuddin,CB Gaffaney,JC Buttler,Rajasthan Royals,Delhi,"Arun Jaitley Stadium, Delhi"
Match 29 (PBKS vs DC),29,Punjab Kings,PBKS,Delhi Capitals,DC,02 May 2021,Sunday,AK Chaudhary,AY Dandekar,MA Agarwal,Delhi Capitals,Ahmedabad,"Narendra Modi Stadium, Ahmedabad"
Match 30 (CSK vs MI),30,Chennai Super Kings,CSK,Mumbai Indians,MI,19 September 2021,Sunday,Nitin Menon,RK Illingworth,RD Gaikwad,Chennai Super Kings,Dubai,Dubai International Cricket Stadium
Match 31 (KKR vs RCB),31,Royal Challengers Bangalore,RCB,Kolkata Knight Riders,KKR,20 September 2021,Monday,CB Gaffaney,S Ravi,CV Varun,Kolkata Knight Riders,Abu Dhabi,"Zayed Cricket Stadium, Abu Dhabi"
Match 32 (PBKS vs RR),32,Rajasthan Royals,RR,Punjab Kings,PBKS,21 September 2021,Tuesday,AK Chaudhary,MA Gough,Kartik Tyagi,Rajasthan Royals,Dubai,Dubai International Cricket Stadium
Match 33 (DC vs SRH),33,Sunrisers Hyderabad,SRH,Delhi Capitals,DC,22 September 2021,Wednesday,KN Ananthapadmanabhan,RK Illingworth,A Nortje,Delhi Capitals,Dubai,Dubai International Cricket Stadium
Match 34 (MI vs KKR),34,Mumbai Indians,MI,Kolkata Knight Riders,KKR,23 September 2021,Thursday,S Ravi,VK Sharma,SP Narine,Kolkata Knight Riders,Abu Dhabi,"Zayed Cricket Stadium, Abu Dhabi"
Match 35 (RCB vs CSK),35,Royal Challengers Bangalore,RCB,Chennai Super Kings,CSK,24 September 2021,Friday,AK Chaudhary,Nitin Menon,DJ Bravo,Chennai Super Kings,Sharjah,Sharjah Cricket Stadium
Match 36 (DC vs RR),36,Delhi Capitals,DC,Rajasthan Royals,RR,25 September 2021,Saturday,CB Gaffaney,UV Gandhe,SS Iyer,Delhi Capitals,Abu Dhabi,"Zayed Cricket Stadium, Abu Dhabi"
Match 37 (SRH vs PBKS),37,Punjab Kings,PBKS,Sunrisers Hyderabad,SRH,25 September 2021,Saturday,RK Illingworth,YC Barde,JO Holder,Punjab Kings,Sharjah,Sharjah Cricket Stadium
Match 38 (CSK vs KKR),38,Kolkata Knight Riders,KKR,Chennai Super Kings,CSK,26 September 2021,Sunday,CB Gaffaney,Tapan Sharma,RA Jadeja,Chennai Super Kings,Abu Dhabi,"Zayed Cricket Stadium, Abu Dhabi"
Match 39 (RCB vs MI),39,Royal Challengers Bangalore,RCB,Mumbai Indians,MI,26 September 2021,Sunday,AK Chaudhary,MA Gough,GJ Maxwell,Royal Challengers Bangalore,Dubai,Dubai International Cricket Stadium
