inning,batting_team,bowling_team,ball,non_striker,batsman,bowler,extra_runs,batsman_run,total_runs,extras,player_out,elimination_kind,fielders_caught,match_name,umpires_1,umpires_2,player_of_match,winner,city,venue,dates
1st innings,Delhi Capitals,Kolkata Knight Riders,0.1,S Dhawan,PP Shaw,Shakib Al Hasan,0,0,0,,,,,DC vs KKR 2021-10-13,KN Ananthapadmanabhan,MA Gough,VR Iyer,Kolkata Knight Riders,Sharjah,Sharjah Cricket Stadium,2021-10-13
1st innings,Delhi Capitals,Kolkata Knight Riders,0.2,S Dhawan,PP Shaw,Shakib Al Hasan,0,1,1,,,,,DC vs KKR 2021-10-13,KN Ananthapadmanabhan,MA Gough,VR Iyer,Kolkata Knight Riders,Sharjah,Sharjah Cricket Stadium,2021-10-13
1st innings,Delhi Capitals,Kolkata Knight Riders,0.3,PP Shaw,S Dhawan,Shakib Al Hasan,0,0,0,,,,,DC vs KKR 2021-10-13,KN Ananthapadmanabhan,MA Gough,VR Iyer,Kolkata Knight Riders,Sharjah,Sharjah Cricket Stadium,2021-10-13
1st innings,Delhi Capitals,Kolkata Knight Riders,0.4,PP Shaw,S Dhawan,Shakib Al Hasan,0,0,0,,,,,DC vs KKR 2021-10-13,KN Ananthapadmanabhan,MA Gough,VR Iyer,Kolkata Knight Riders,Sharjah,Sharjah Cricket Stadium,2021-10-13
1st innings,Delhi Capitals,Kolkata Knight Riders,0.5,PP Shaw,S Dhawan,Shakib Al Hasan,0,0,0,,,,,DC vs KKR 2021-10-13,KN Ananthapadmanabhan,MA Gough,VR Iyer,Kolkata Knight Riders,Sharjah,Sharjah Cricket Stadium,2021-10-13
1st innings,Delhi Capitals,Kolkata Knight Riders,0.6,PP Shaw,S Dhawan,Shakib Al Hasan,0,0,0,,,,,DC vs KKR 2021-10-13,KN Ananthapadmanabhan,MA Gough,VR Iyer,Kolkata Knight Riders,Sharjah,Sharjah Cricket Stadium,2021-10-13
1st innings,Delhi Capitals,Kolkata Knight Riders,1.1,S Dhawan,PP Shaw,LH Ferguson,0,4,4,,,,,DC vs KKR 2021-10-13,KN Ananthapadmanabhan,MA Gough,VR Iyer,Kolkata Knight Riders,Sharjah,Sharjah Cricket Stadium,2021-10-13
1st innings,Delhi Capitals,Kolkata Knight Riders,1.2,S Dhawan,PP Shaw,LH Ferguson,0,0,0,,,,,DC vs KKR 2021-10-13,KN Ananthapadmanabhan,MA Gough,VR Iyer,Kolkata Knight Riders,Sharjah,Sharjah Cricket Stadium,2021-10-13
1st innings,Delhi Capitals,Kolkata Knight Riders,1.3,S Dhawan,PP Shaw,LH Ferguson,0,1,1,,,,,DC vs KKR 2021-10-13,KN Ananthapadmanabhan,MA Gough,VR Iyer,Kolkata Knight Riders,Sharjah,Sharjah Cricket Stadium,2021-10-13
1st innings,Delhi Capitals,Kolkata Knight Riders,1.4,PP Shaw,S Dhawan,LH Ferguson,0,0,0,,,,,DC vs KKR 2021-10-13,KN Ananthapadmanabhan,MA Gough,VR Iyer,Kolkata Knight Riders,Sharjah,Sharjah Cricket Stadium,2021-10-13
1st innings,Delhi Capitals,Kolkata Knight Riders,1.5,PP Shaw,S Dhawan,LH Ferguson,0,0,0,,,,,DC vs KKR 2021-10-13,KN Ananthapadmanabhan,MA Gough,VR Iyer,Kolkata Knight Riders,Sharjah,Sharjah Cricket Stadium,2021-10-13
1st innings,Delhi Capitals,Kolkata Knight Riders,1.6,PP Shaw,S Dhawan,LH Ferguson,0,0,0,,,,,DC vs KKR 2021-10-13,KN Ananthapadmanabhan,MA Gough,VR Iyer,Kolkata Knight Riders,Sharjah,Sharjah Cricket Stadium,2021-10-13
