inning,batting_team,bowling_team,ball,non_striker,batsman,bowler,extra_runs,batsman_run,total_runs,extras,player_out,elimination_kind,fielders_caught,match_name,umpires_1,umpires_2,player_of_match,winner,city,venue,dates
1st innings,Rajasthan Royals,Mumbai Indians,10.6,DA Miller,R Tewatia,JDS Neesham,0,1,1,,,,,RR vs MI 2021-10-05,AK Chaudhary,MA Gough,NM Coulter-Nile,Mumbai Indians,Sharjah,Sharjah Cricket Stadium,2021-10-05
1st innings,Rajasthan Royals,Mumbai Indians,11.1,DA Miller,R Tewatia,J Yadav,0,0,0,,,,,RR vs MI 2021-10-05,AK Chaudhary,MA Gough,NM Coulter-Nile,Mumbai Indians,Sharjah,Sharjah Cricket Stadium,2021-10-05
1st innings,Rajasthan Royals,Mumbai Indians,11.2,DA Miller,R Tewatia,J Yadav,0,1,1,,,,,RR vs MI 2021-10-05,AK Chaudhary,MA Gough,NM Coulter-Nile,Mumbai Indians,Sharjah,Sharjah Cricket Stadium,2021-10-05
1st innings,Rajasthan Royals,Mumbai Indians,11.3,R Tewatia,DA Miller,J Yadav,0,0,0,,,,,RR vs MI 2021-10-05,AK Chaudhary,MA Gough,NM Coulter-Nile,Mumbai Indians,Sharjah,Sharjah Cricket Stadium,2021-10-05
1st innings,Rajasthan Royals,Mumbai Indians,11.4,R Tewatia,DA Miller,J Yadav,0,1,1,,,,,RR vs MI 2021-10-05,AK Chaudhary,MA Gough,NM Coulter-Nile,Mumbai Indians,Sharjah,Sharjah Cricket Stadium,2021-10-05
1st innings,Rajasthan Royals,Mumbai Indians,11.5,DA Miller,R Tewatia,J Yadav,0,0,0,,,,,RR vs MI 2021-10-05,AK Chaudhary,MA Gough,NM Coulter-Nile,Mumbai Indians,Sharjah,Sharjah Cricket Stadium,2021-10-05
1st innings,Rajasthan Royals,Mumbai Indians,11.6,DA Miller,R Tewatia,J Yadav,0,0,0,,,,,RR vs MI 2021-10-05,AK Chaudhary,MA Gough,NM Coulter-Nile,Mumbai Indians,Sharjah,Sharjah Cricket Stadium,2021-10-05
1st innings,Rajasthan Royals,Mumbai Indians,12.1,R Tewatia,DA Miller,TA Boult,0,1,1,,,,,RR vs MI 2021-10-05,AK Chaudhary,MA Gough,NM Coulter-Nile,Mumbai Indians,Sharjah,Sharjah Cricket Stadium,2021-10-05
1st innings,Rajasthan Royals,Mumbai Indians,12.2,DA Miller,R Tewatia,TA Boult,0,1,1,,,,,RR vs MI 2021-10-05,AK Chaudhary,MA Gough,NM Coulter-Nile,Mumbai Indians,Sharjah,Sharjah Cricket Stadium,2021-10-05
1st innings,Rajasthan Royals,Mumbai Indians,12.3,R Tewatia,DA Miller,TA Boult,0,1,1,,,,,RR vs MI 2021-10-05,AK Chaudhary,MA Gough,NM Coulter-Nile,Mumbai Indians,Sharjah,Sharjah Cricket Stadium,2021-10-05
1st innings,Rajasthan Royals,Mumbai Indians,12.4,DA Miller,R Tewatia,TA Boult,0,1,1,,,,,RR vs MI 2021-10-05,AK Chaudhary,MA Gough,NM Coulter-Nile,Mumbai Indians,Sharjah,Sharjah Cricket Stadium,2021-10-05
1st innings,Rajasthan Royals,Mumbai Indians,12.5,R Tewatia,DA Miller,TA Boult,0,1,1,,,,,RR vs MI 2021-10-05,AK Chaudhary,MA Gough,NM Coulter-Nile,Mumbai Indians,Sharjah,Sharjah Cricket Stadium,2021-10-05
1st innings,Rajasthan Royals,Mumbai Indians,12.6,DA Miller,R Tewatia,TA Boult,0,1,1,,,,,RR vs MI 2021-10-05,AK Chaudhary,MA Gough,NM Coulter-Nile,Mumbai Indians,Sharjah,Sharjah Cricket Stadium,2021-10-05
